English|Bangali|Arabic|Chinese|French|German|Hindi|Italian|Japanese|Spanish
preclude|প্রতিরোধ করা|منع|排除|empêcher|ausschließen|बंद करना|precludere|排除する|imposibilitar
precocious|ইঁচড়ে পাকা|مبكر|早熟|précoce|frühreif|असामयिक|precoce|早熟|precoz
predilection|পক্ষপাত|ميل|好发|prédilection|Vorliebe|लाग-लपेट|predilezione|偏見|predilección
prescience|পূর্বজ্ঞান|علم الغيب|预知|prescience|Voraussicht|पूर्वज्ञान|preveggenza|先見性|presciencia
prevaricate|সত্যের অপলাপ করা|وارب|支应|tergiverser|voreilig|छलकपट|equivocare|前もって|prevaricar
prodigal|অমিতব্যয়ী|مبذر|败家子|prodigue|verschwenderisch|खर्चीला|prodigo|放蕩|pródigo
prodigious|বিস্ময়কর|استثنائي|惊人|prodigieux|erstaunlich|विलक्षण|prodigioso|驚異的な|prodigioso
profligate|লক্ষ্মীছাড়া|مبذر|挥霍|débauché|verschwenderisch|अपव्ययी|dissoluto|暴れる|libertino
prolific|উর্বর|غزير الإنتاج|多产的|prolifique|fruchtbar|उर्वर|prolifico|多分|prolífico
propitious|প্রসন্ন|صفوح|吉祥|propice|günstig|अनुकूल|propizio|恵まれた|propicio
provincial|প্রাদেশিক|ريفي|省级|provincial|provinziell|प्रांतीय|provinciale|州|provincial
pundit|পণ্ডিত|الناقد|权威人士|expert|Pandit|पंडित|esperto|専門家|pandit
qualify|যোগ্যতা|التأهل|修饰|qualifier|qualifizieren|अर्हता|qualificarsi|修飾する|calificar
qualify|যোগ্যতা|التأهل|修饰|qualifier|qualifizieren|अर्हता|qualificarsi|修飾する|calificar
querulous|অনুযোগকারী|معاتب|哓|querelleur|Querulant|विलापी|querulo|うぬぼれた|quejumbroso
quotidian|দৈনিক জ্বর|سجان|瘴气|quotidien|Alltägliches|दैनिक|quotidiano|常識|cotidiano
ravenous|বুভুক্ষিত|نهم|饿坏了的|vorace|Heißhunger|हिंसक|famelico|卑劣な|voraz
rebuke|তাড়ন|توبيخ|训斥|réprimande|Tadel|फटकार|rimprovero|叱責|reprensión
reconcile|পুনর্মিলিত করা|التصالح|调和|réconcilier|versöhnen|समाधान करना|riconciliare|和解する|conciliar
recondite|দুর্বোধ্য|عويص|高深|obscur|verborgen|गंभीर|recondito|レコンダイト|recóndito
refractory|অবাধ্য|المواد المقاومة للحرارة|耐火|réfractaire|feuerfest|आग रोक|refrattario|耐火物|refractario
refute|খণ্ডন করা|دحض|反驳|réfuter|widerlegen|खंडन|confutare|反論する|refutar
reproach|ভর্ত্সনা|عتاب|责备|reproche|Vorwurf|तिरस्कार|rimprovero|非難する|reproche
repudiate|অস্বীকার করা|رفض|否认|répudier|ablehnen|परित्याग करना|ripudiare|否認する|repudiar
rescind|বাতিল করা|فسخ|废除|annuler|rückgängig machen|रद्द कर देना|rescindere|廃止する|rescindir
restive|অশান্ত|حرون|动荡|rétif|unruhig|अशांत|irrequieto|反抗的な|intranquilo
resurgent|পুনরূদীয়মান|نامي|复活|renaissant|wieder auferstehen|पुनस्र्त्थानशील|risorgente|復活する|resurgente
reticent|স্বল্পভাষী|صموت|沉默的|réticent|zurückhaltend|अल्पभाषी|reticente|怠惰な|reticente
reverent|সশ্রদ্ধ|مبجل|虔敬|respectueux|andächtig|श्रद्धालु|riverente|敬虔な|reverente
rudimentary|প্রাথমিক|بدائي|初步|rudimentaire|rudimentär|मौलिक|rudimentale|初歩的な|rudimentario
rustic|দেহাতি|ريفي|乡村|rustique|rustikal|देहाती|rustico|素朴な|rústico
sanction|অনুমোদন|عقوبة|制裁|sanction|sanktionieren|प्रतिबंध|sanzione|制裁|sanción
sanction|অনুমোদন|عقوبة|制裁|sanction|sanktionieren|प्रतिबंध|sanzione|制裁|sanción
scrupulous|খুঁতখুঁতে|مدقق|一丝不苟|scrupuleux|gewissenhaft|ईमानदार|scrupoloso|綿密な|escrupuloso
scrupulous|খুঁতখুঁতে|مدقق|一丝不苟|scrupuleux|gewissenhaft|ईमानदार|scrupoloso|綿密な|escrupuloso
soporific|ঘুমপাড়ানি|مخدر|催眠|soporifique|Schlafmittel|निँदासा|soporifero|崇高な|soporífero
specious|আচমকা-সুন্দর|مزيف|华而不实的|spécieux|trügerisch|दिखौवा|specioso|深刻な|especioso
specious|আচমকা-সুন্দর|مزيف|华而不实的|spécieux|trügerisch|दिखौवा|specioso|深刻な|especioso
sporadic|বিক্ষিপ্ত|متقطع|零星的|sporadique|sporadisch|छिटपुट|sporadico|散発的な|esporádico
spurious|কৃত্রিম|زائف|伪|faux|unecht|जाली|spuria|擬似|espurio
staunch|বায়ুরোধী|قوي|坚定|étancher|stillen|निष्ठावान|convinto|頑張る|firme
stringent|কঠোর|صارم|严格|strict|streng|कड़ी से कड़ी|rigoroso|ストリンジェントな|riguroso
subsume|অন্তর্ভূত করা|صنف ضمن فئة|归入|subsumer|Subsumieren|किसी नियम के अंतर्गत करना|sussumere|サブムーム|subsumir
subsume|অন্তর্ভূত করা|صنف ضمن فئة|归入|subsumer|Subsumieren|किसी नियम के अंतर्गत करना|sussumere|サブムーム|subsumir
subversive|বিধ্বংসী|مخرب|颠覆|subversif|subversiv|विनाशक|sovversivo|破壊的な|subversivo
sullen|অন্ধকারাচ্ছন্ন|متجهم|忧郁|renfrogné|mürrisch|उदास|scontroso|サレン|hosco
superfluous|অতিরিক্ত|غير ضروري|多余|superflu|überflüssig|ज़रूरत से ज़्यादा|superfluo|余分な|superfluo
superfluous|অতিরিক্ত|غير ضروري|多余|superflu|überflüssig|ज़रूरत से ज़्यादा|superfluo|余分な|superfluo
supplant|উচ্ছিন্ন করা|أزاح|取代|supplanter|ersetzen|उखाड़ना|soppiantare|取って代わる|suplantar
sycophant|পরগাছা|المتملق الذليل|拍马屁的人|flagorneur|Schmeichler|चापलूस|leccapiedi|シコファント|sicofante
taciturn|মিতভাষী|قليل الكلام|沉默寡言的|taciturne|schweigsam|अल्पभाषी|taciturno|暗誦|taciturno
tantamount|সমপরিমাণ|معادل|无异|équivalent|gleichbedeutend|समान|equivalente|最大|equivalente
temperance|মিতাচার|زهد|禁酒|tempérance|Mäßigkeit|संयम|temperanza|禁酒|templanza
tempered|পোড়|مزاج|回火|tempéré|temperiert|टेम्पर्ड|temperato|温かく|templado
tenacious|অনমনীয়|عنيد|顽强|tenace|zäh|दृढ़|tenace|強引な|tenaz
timorous|ভীরু|هياب|恇|timoré|ängstlich|कातर|timoroso|ティモラス|timorato
torpor|অনুচ্চতা|سبات|麻木|torpeur|Torpor|सो हो जाना|torpore|トルポル|letargo
tortuous|অসরল|متعرج|曲折|tortueux|gewunden|कपटपूर्ण|tortuoso|曲がりくねった|tortuoso
tractable|সহজে টানা যায় এমন|لين العريكة|听话的|docile|lenkbar|विनयशील|trattabile|扱いやすい|manejable
transient|অস্থায়ী|عابر|短暂的|transitoire|vorübergehend|क्षणिक|transitorio|一時的な|transitorio
travesty|হাস্যকর অনুকরণ|صورة زائفة|滑稽戏|travestir|Travestie|भड़ौआ|parodia|駄作|parodia
treacherous|বিশ্বাসঘাতক|غادر|奸诈|perfide|tückisch|नमक हराम|infido|信じられない|traicionero
treacherous|বিশ্বাসঘাতক|غادر|奸诈|perfide|tückisch|नमक हराम|infido|信じられない|traicionero
trite|মামুলি|تافه|平凡的|banal|banal|घिसे-पिटे|banale|台無し|trillado
truncate|অগ্রভাগ ছাঁটিয়া দেত্তয়া|بتر|截短|tronquer|kürzen|काट-छांट|troncare|切り詰める|truncar
undermine|অধোদেশ খনন করা|تقويض|破坏|saper|untergraben|कमजोर|minare|衰弱させる|socavar
underscore|আন্ডারস্কোর|أكد|下划线|souligner|unterstreichen|बल देना|sottolineare|アンダースコア|guion bajo
unequivocal|দ্ব্যর্থহীন|لا لبس فيه|明确的|sans équivoque|eindeutig|स्पष्ट|inequivocabile|明白な|inequívoco
unscrupulous|বিবেকবর্জিত|عديم الضمير|不择手段|sans scrupules|skrupellos|बेशरम|senza scrupoli|悪意のある|poco escrupuloso
upbraid|ভর্ত্সনা করা|لوم|吒|reprocher|rügen|फटकारना|rimproverare|肥えた|reprender a
vacillate|স্থির না থাকা|تأرجح|动摇|vaciller|schwanken|संदेह करना|oscillare|動揺させる|vacilar
vehement|প্রচণ্ড|عنيف|慷慨|véhément|vehement|लवलीन|veemente|激しい|vehemente
venality|ঘুস প্রদান|الفساد|唯利是图|vénalité|Käuflichkeit|ज़रख़ीदी|venalità|悪徳|venalidad
venerate|শ্রদ্ধা করা|بجل|敬|vénérer|verehren|सम्मानित करना|venerare|尊敬する|venerar
veracious|সত্যপরায়ণ|صدوق|如其人|véridique|wahrhaftig|सत्यप्रिय|verace|誠実な|veraz
vilify|নিন্দা করা|ذم|丑化|diffamer|verunglimpfen|गाली देना|diffamare|卑劣な|vilipendiar
vindicate|সাবুদ করা|برر|表白|justifier|rechtfertigen|साबित कर देना|rivendicare|立証する|vindicar
vociferous|সমুচ্চ|صاخب|喧嚷|bruyant|lautstark|मुखर|vociferante|激しい|vociferante
volubility|শব্দব্যবহার|طلاقة|健谈|volubilité|Zärtlichkeit|बकवाद|loquacità|揮発性|volubilidad
wanting|অনুপস্থিত|يريد|希望|vouloir|wollen|चाहने|volendo|欲しい|falto
winsome|আকর্ষণীয়|فاتن|汇豪|séduisant|winsome|मनोहर|attraente|ウィンソム|atractivo
aboveboard|অকপট|علانية|光明正大|honnête|ehrlich|aboveboard|aboveboard|上の|abiertamente
abysmal|অতল|سحيق|深|épouvantable|miserabel|मात्र|abissale|深刻な|abismal
acme|চূড়া|ذروة|顶点|acmé|Gipfel|परिपूर्णता|acme|アクメ|cumbre
advocate|উকিল|المؤيد|主张|avocat|befürworten|वकील|avvocato|主張する|abogado
advocate|উকিল|المؤيد|主张|avocat|befürworten|वकील|avvocato|主張する|abogado
affable|ভদ্র|أنيس|和蔼可亲的|affable|freundlich|मिलनसार|affabile|親切な|afable
affluent|ধনী|غني|富裕的|affluent|wohlhabend|धनी|affluente|豊かな|afluente
altruism|পরার্থপরতা|إيثار|利他主义|altruisme|Altruismus|दूसरों का उपकार करने का सिद्धान्त|altruismo|利他主義|altruismo
amiable|বন্ধুসুলভ|ودي|可亲|aimable|liebenswürdig|सुशील|amabile|愉快な|amable
amply|কানায় কানায়|بإسهاب|充分|amplement|reichlich|जिसकी पर्याप्त|ampiamente|十分な|ampliamente
amuck|ক্ষিপ্তবৎ|باهتياج|疯狂地|amok|Amok|आपे से बाहर|freneticamente|アマン|loco
analogous|অনুরূপ|مماثل|类似|analogue|analog|अनुरूप|analogo|類似|análogo
animosity|বিদ্বেষ|عداء|敌意|animosité|Feindseligkeit|बैर|animosità|敵意|animosidad
antedated|বাসী|antedated|先于|antidaté|vorgestuft|antedated|antedated|前もって|antedatado
antiquated|অপ্রচলিত|مهمل|陈旧的|vieilli|veraltet|प्राचीन|antiquato|古くなった|anticuado
apex|চূড়া|ذروة|顶尖|sommet|Apex|सर्वोच्च|apice|頂点|apéndice
aphorism|সূত্র|قول مأثور|格言|aphorisme|Aphorismus|कहावत|aforisma|格言|aforismo
aphoristic|প্রবচনাত্মক|aphoristic|格言|aphoristique|aphoristisch|सूत्र-रूप में|aforistico|敬語|aforístico
appreciable|উপলব্ধিজনক|ممكن إدراكه|可感知的|appréciable|nennenswert|प्रशंसनीय|apprezzabile|相当な|apreciable
apprehension|চেতনা|تخوف|顾虑|appréhension|Auffassung|डर|apprensione|不安|detención
archaic|সেকেলে|ممات|古老|archaïque|archaisch|प्राचीन|arcaico|アルカイック|arcaico
ascendancy|কর্তৃত্ব|هيمنة|优势|ascendant|Überlegenheit|प्रभुत्व|ascendente|優位|ascendencia
ascribe|আরোপ করা|نسب ل|归咎于|attribuer|zuschreiben|कारण बताना|attribuire|帰属|atribuir
assail|প্রাণপণ চেষ্টা করা|هاجم بعنف|攻击|assaillir|angreifen|आक्रमण करना|assalire|襲撃|asaltar
assuage|প্রশমিত করা|هدأ|缓和|apaiser|Beschwichtigung|शांत करना|mitigare|安楽死|calmar
augment|বৃদ্ধি|زيادة|增加|augmenter|vermehren|बढ़ाना|aumentare|増強|aumentar
autonomously|স্বয়ংক্রিয়|مستقل|自主|de manière autonome|autonom|स्वायत्त|autonomamente|自律的に|autónomamente
avarice|অর্থলিপ্সা|جشع|贪婪|avarice|Habsucht|लोभ|avarizia|貪欲|avaricia
avert|প্রতিহত করা|تجنب|避免|éviter|abwenden|टालना|evitare|回避する|evitar
avert|প্রতিহত করা|تجنب|避免|éviter|abwenden|टालना|evitare|回避する|evitar
avid|ক্ষুধিত|نهم|狂热|avide|begierig|उत्सुक|avido|熱心な|ávido
badger|ব্যাজার|فرو الغرير|獾|blaireau|Dachs|बिज्जू|tasso|狸|tejón
balk|কড়িকাঠ|رافدة|梁木|rechigner|Balken|मेंड|ostacolo|ボーク|obstáculo
banish|খেদান|إبعاد|放逐|bannir|verbannen|निर्वासित करना|bandire|追い払う|desterrar
beatific|আনন্দময়|شديد الإبتهاج|祝福的|béatifique|beatific|सुखी|beatifico|おいしい|beatífico
becoming|মানানসই|تصبح|变得|devenir|Werden|बनने|diventando|〜になる|devenir
begrudge|নারাজ হত্তয়া|حسد|羡慕|se plaindre|Missgunst|डाह खाना|invidiare|ねたむ|envidiar
begrudge|নারাজ হত্তয়া|حسد|羡慕|se plaindre|Missgunst|डाह खाना|invidiare|ねたむ|envidiar
behooves|কষ্ট হচ্ছে|حري|理应|appartient|behütet|behooves|conviene|行動する|comportamientos
belittle|তুচ্ছতাচ্ছিল্য করা|استخف|贬低|rabaisser|schmälern|कम हो जाना|sminuire|卑劣な|empequeñecer
bellicose|মারমুখো|مولع بالقتال|好战的|belliqueux|kriegerisch|लड़ाकू|bellicoso|正気|belicoso
benign|ফলপ্রদ|حميدة|良性|bénin|gutartig|सौम्य|benigno|良性|benigno
benign|ফলপ্রদ|حميدة|良性|bénin|gutartig|सौम्य|benigno|良性|benigno
besiege|নিরোধ করা|يحاصر|围攻|assiéger|belagern|मुहासिरा करना|assediare|包囲|sitiar
besmirch|কলঙ্কিত করা|لوث|污渍|ternir|beschmutzen|गंदा करना|imbrattare|ベスミルク|manchar
bleak|নিরানন্দ|كئيب|苍凉|morne|düster|बेरंग|brullo|荒涼|desolado
boon|বর|نعمة|福利|aubaine|Segen|वरदान|vantaggio|恩恵|bendición
boon|বর|نعمة|福利|aubaine|Segen|वरदान|vantaggio|恩恵|bendición
boorish|চাষাড়ে|غير مثقف|粗野|rustre|burisch|अशिष्ट|rozzo|愚かな|grosero
brusquely|brusquely|بفظاظة|粗暴地|brusquement|brüsk|brusquely|bruscamente|鋭く|bruscamente
buck|হরিণ|دولار|降压|mâle|Dollar|हिरन|secchio|バック|dólar
buttress|আলম্ব|دعم|支持|contrefort|Stütze|टेक|contrafforte|バトレス|contrafuerte
cadaverous|বিশীর্ণ|جيفي|苍白|cadavérique|kadaverhaft|शव का|cadaverico|死体|cadavérico
candid|অকপট|صريح|坦率|Candide|offen|खरा|Candido|率直|sincero
candidness|পক্ষপাতশূন্যতা|صراحة|坦率|franchise|Offenheit|सत्यता|franchezza|候補|franqueza
cardinal|অঙ্কবাচক|العدد بالرقم|枢机主教|cardinal|Kardinal|कार्डिनल|cardinale|枢機卿|cardenal
carping|ছিদ্রান্বেষী|عائب|吹毛求疵|carpe|carping|छिद्रान्वेषी|meticoloso|カーピング|criticón
catalyst|অনুঘটক|الحفاز|催化剂|catalyseur|Katalysator|उत्प्रेरक|catalizzatore|触媒|Catalizador
cavalier|রূক্ষ|فارس|骑士|cavalier|Kavalier|घुड़सवार|cavaliere|無邪気な|caballero
censor|সমালোচক|الرقيب|审查|censurer|zensieren|सेंसर|censurare|検閲|censurar
cerebral|মস্তিষ্ক-সংক্রান্ত|مخي|颅内|cérébral|zerebral|सेरिब्रल|cerebrale|大脳|cerebral
champion|রক্ষক|بطل|冠军|champion|Champion|चैंपियन|campione|チャンピオン|campeón
chauvinist|উত্কট স্বদেশভক্ত|الشوفيني المغالي في التعصب الوطني|沙文主义|chauvin|Chauvinist|अंधराष्ट्रीवादी|sciovinista|信者|chauvinista
check|চেক|التحقق من|校验|vérifier|prüfen|चेक|dai un&#39;occhiata|チェック|comprobar
check|চেক|التحقق من|校验|vérifier|prüfen|चेक|dai un&#39;occhiata|チェック|comprobar
checkered|ছককাটা|ذو مربعات|格仔|à carreaux|kariert|विचित्र|scacchi|市松|a cuadros
chivalrous|সাহসী|شهم|义|chevaleresque|ritterlich|उदार|cavalleresco|騎士的な|caballerosidad
clemency|ক্ষমাশীলতা|رأفة|宽大|clémence|Milde|दया|clemenza|快感|clemencia
coalesce|একসঙ্গে জন্মান|التأم|合并|se fondre|verschmelzen|संगठित होना|fondersi|合体する|juntarse
cogent|অকাট্য|مقنع|切实|convaincant|überzeugend|ठोस|convincente|志願者|convincente
cohesive|সংযোজক|متماسك|凝聚力|cohésif|zusammenhängend|जोड़नेवाला|coesivo|粘着性の|cohesivo
collusion|সাজশ|تواطؤ|共谋|connivence|Absprache|मिलीभगत|collusione|共謀|colusión
colossal|প্রকাণ্ড|ضخم|庞大|colossal|kolossal|भारी|colossale|巨大|colosal
commendable|প্রশংসনীয়|جدير بالثناء|值得称道|louable|lobenswert|सराहनीय|lodevole|立派な|recomendable
complacent|প্রসন্ন|الرضا|自满|complaisant|selbstgefällig|आत्मसंतुष्ट|compiaciuto|満足している|suficiente
complementary|পরিপূরক|مكمل|补充|complémentaire|komplementär|पूरक|complementare|相補的な|complementario
compound|যৌগিক|مركب|复合|composé|Verbindung|यौगिक|composto|化合物|compuesto
conducive|সহায়ক|تؤدي|有利于|propice|förderlich|अनुकूल|tendente|助ける|conducente
conniving|conniving|تآمر|纵容|connivence|hinterhältig|सांठगांठ|connivente|黙る|engañoso
consecrate|পবিত্র|كرس|供奉|consacrer|weihen|ज्ञान देना|consacrare|奉献する|consagrar
constraint|বাধ্যতা|قيود|约束|contrainte|Zwang|बाधा|costrizione|制約|restricción
consummate|সুসম্পূর্ণ|ماهر|完善|consommé|vollendet|समाप्त|consumato|完成品|consumar
consummate|সুসম্পূর্ণ|ماهر|完善|consommé|vollendet|समाप्त|consumato|完成品|consumar
contemptuous|ঘৃণাপূর্ণ|مزدر|轻视|méprisant|verächtlich|तिरस्कारपूर्ण|sprezzante|軽蔑的な|desdeñoso
contrite|অনুতপ্ত|نادم|痛悔|contrit|zerknirscht|पछताया हुआ|contrito|悔恨|contrito
conundrum|প্রহেলিকা|لغز|难题|énigme|Rätsel|पहेली|enigma|謎|adivinanza
convivial|পার্বণ|بهيج|欢乐的|convivial|gesellig|खुशनुमा|conviviale|喜ばしい|alegre
convoluted|সংবর্ত|معقد|令人费解|convoluté|verschachtelt|जटिल|involuto|複雑な|complejo
cornucopia|প্রাচুর্যে পরিপূর্ণ ভাণ্ডার|الوفرة|聚宝盆|corne d&#39;abondance|Füllhorn|cornucopia|cornucopia|豊かな|cuerno de la abundancia
corroborate|দৃঢ় করা|يثبت|证实|corroborer|bestätigen|मंडित कतना|corroborare|裏付ける|corroborar
cosmopolitan|বিশ্বজনীন|عالمي|大都会|Cosmopolite|kosmopolitisch|कॉस्मोपॉलिटन|Cosmopolita|コスモポリタン|cosmopolita
credence|প্রত্যয়|تصديق|信用|foi|Glaubwürdigkeit|प्रत्यय|credito|信用|crédito
creditable|বিশ্বাসযোগ্য|جدير بالتصديق|可信|honorable|anerkennbar|श्रेयस्कर|credibile|信用できる|loable
credulity|বিশ্বাসপ্রবণতা|سذاجة|易信|crédulité|Leichtgläubigkeit|भोलापन|credulità|盲信|credulidad
cumbersome|কষ্টকর|ثقيل|笨重|lourd|schwerfällig|बोझिल|ingombrante|面倒|incómodo
dearth|অভাব|قلة|缺乏|disette|Mangel|अकाल|scarsità|不足|escasez
debase|অপকৃষ্ট করা|غش|贬低|avilir|erniedrigen|मूल्य घटाना|avvilire|衰弱|degradar
debunk|অনাবৃত করা|فضح زيف شيء ما|揭穿|discréditer|entlarven|धूल में मिलाना|ridimensionare|暴れる|desenmascarar
decimation|ধ্বংসকরণ|هلاك|抽取|décimation|Dezimierung|नाश|decimazione|デシメーション|ejecución
degrade|অধ: পতন করা|تتحلل|降级|dégrader|degradieren|नीचा दिखाना|degradare|劣化する|degradar
delegate|প্রতিনিধি|مندوب|代表|déléguer|delegieren|प्रतिनिधि|delegare|デリゲート|delegar
deliberate|ইচ্ছাকৃত|متعمد|商榷|délibérer|beraten|जानबूझकर|deliberato|審議する|deliberar
demean|হীন করা|حط من قدر|贬低|rabaisser|erniedrigen|नीचा दिखाना|avvilire|デマン|degradar
demure|অচপল|رزين|拘谨|sage|sittsam|संकोची|modesto|固くする|recatado
deride|ঠাট্টা করা|سخر|嘲笑|railler|verspotten|उपहास करना|deridere|嘲る|burlarse de
derisive|উপহাস্য|ساخر|嘲弄|dérisoire|spöttisch|व्यंग्यात्मक|derisorio|懐疑的な|burlón
derogative|হানিকর|derogative|贬|dénigrant|abfällig|अपमानजनक|dispregiativo|軽蔑的|despectivo
desecrate|অপবিত্র করা|دنس|虚度|profaner|entheiligen|अपवित्र करना|profanare|卑劣な|profanar
destitute|পরিত্যক্ত|فقراء|贫困|dépourvu|mittellos|निराश्रित|indigente|貧しい|indigente
destitute|পরিত্যক্ত|فقراء|贫困|dépourvu|mittellos|निराश्रित|indigente|貧しい|indigente
deter|ভয় দেখাইয়া নিবৃত্ত করা|ردع|阻止|dissuader|abhalten|रोक रखना|scoraggiare|抑止|desalentar
deter|ভয় দেখাইয়া নিবৃত্ত করা|ردع|阻止|dissuader|abhalten|रोक रखना|scoraggiare|抑止|desalentar
detrimental|ক্ষতিকারক|ضار|有害|préjudiciable|schädlich|हानिकारक|dannoso|有害な|perjudicial
devolve|নিচে গড়াইযা পড়া|انحدر|下放|déléguer|übertragen|उतरना|devolvere|解散する|delegar
devolve|নিচে গড়াইযা পড়া|انحدر|下放|déléguer|übertragen|उतरना|devolvere|解散する|delegar
diabolical|নারকীয়|شيطاني|毒辣|diabolique|teuflisch|पैशाचिक|diabolico|悪魔的な|diabólico
differentiate|ভেদ করা|تميز|区分|différencier|unterscheiden|अंतर|differenziare|差別化する|diferenciar
differentiate|ভেদ করা|تميز|区分|différencier|unterscheiden|अंतर|differenziare|差別化する|diferenciar
dilapidated|জীর্ণ|مهلهل|残破|délabré|verfallen|जीर्ण|cadente|荒廃した|arruinado
diligent|পরিশ্রমী|مجتهد|勤奋|diligent|fleißig|मेहनती|diligente|勤勉な|diligente
discord|অনৈক্য|خلاف|不和|discorde|Zwietracht|कलह|discordia|不和|discordia
discreet|বিচক্ষণ|متحفظ|慎重|discret|diskret|विचारशील|discreto|控えめな|discreto
discriminate|ভেদ করা|تميز|辨析|discriminer|diskriminieren|भेदभाव|discriminare|差別する|discriminar
disenfranchise|disenfranchise|حرمان|剥夺|dépossession du droit de vote|entrechten|नागरिकता से वंचित करना|disenfranchise|ディスセンス・フランチャイズ|privar de derechos civiles
disheartened|ভগ্নোত্সাহ|بخيبة أمل|灰心|découragé|entmutigt|निस्र्त्साहित|sfiduciato|落胆した|desanimado
disparate|অসম|متفاوت|不同|disparate|disparat|मुक़्तलिफ़|disparato|異なる|dispar
dispatch|প্রাণবধ|إيفاد|调度|envoi|Versand|प्रेषण|spedizione|ディスパッチ|envío
dispatch|প্রাণবধ|إيفاد|调度|envoi|Versand|प्रेषण|spedizione|ディスパッチ|envío
docile|শিক্ষাগ্রহণে তত্পর|منصاع|温顺|docile|fügsam|विनम्र|docile|従順な|dócil
dog|কুকুর|الكلب|狗|chien|Hund|कुत्ता|cane|犬|perro
dupe|প্রতারিত ব্যক্তি|مغفل|欺骗|dupe|betrügen|भोला-भाला|ingannare|だます|engañar
dupe|প্রতারিত ব্যক্তি|مغفل|欺骗|dupe|betrügen|भोला-भाला|ingannare|だます|engañar
eccentric|অদ্ভুতস্বভাব|غريبة الاطوار|偏心|excentrique|Exzenter|विलक्षण|eccentrico|偏心|excéntrico
egotist|আত্মশ্লাঘী|أناني|自我中心主义|égotiste|Egoist|अहंवादी|egotista|エゴイスト|egotista
eke|সংযোজিত করা|اقتصد|勉强维持|eke|ekel|बढ़ाना|eke|エケ|suplir las deficiencias
elaborate|সম্প্রসারিত|توضيح|阐述|élaborer|erarbeiten|विस्तृत|elaborare|精巧な|elaborar
elaborate|সম্প্রসারিত|توضيح|阐述|élaborer|erarbeiten|विस्तृत|elaborare|精巧な|elaborar
elude|পালান|تملص|躲避|éluder|entgehen|टलना|eludere|逃げる|eludir
elusive|অধরা|صعبة المنال|难以捉摸|insaisissable|schwer fassbar|मायावी|inafferrabile|見つけにくい|elusivo
embellish|সজ্জিত করা|جمل|润|embellir|verschönern|संवारना|abbellire|飾る|embellecer
embroiled|জড়িয়ে|متورط|卷入|impliqué|verwickelt|घपला|coinvolto|混乱した|embrollado
empathetic|সহানুভূতিশীল|متعاطف|感情移入的|empathique|einfühlsam|सहानुभूति|empatico|感情的な|empatico
emulate|অনুকরণ করা|محاكاة|仿真|imiter|emulieren, nacheifern|अनुकरण करना|emulare|エミュレートする|emular
endemic|স্থানীয়|المتوطنة|流行|endémique|endemisch|स्थानिक|endemico|風土病|endémico
enmity|শত্রুতা|عداوة|敌意|hostilité|Feindschaft|शत्रुता|inimicizia|敵意|enemistad
entice|বিপথে চালিত করা|جذب|诱惑|attirer|locken|लुभाने|allettare|誘惑する|atraer
enumerate|গনা|سرد|枚举|énumérer|aufzählen|एक एक करके बताना|enumerare|列挙する|enumerar
enumerate|গনা|سرد|枚举|énumérer|aufzählen|एक एक करके बताना|enumerare|列挙する|enumerar
err|ভ্রম করা|أخطأ|呃|se tromper|err|ग़लती होना|sbagliare|間違い|errar
errant|ভ্রমণরত|هائم على وجهه|对不按|errant|fehlgeleitet|भटकनेवाला|errante|誤った|andante
erratic|লক্ষ্যভ্রষ্ট|شارد|不稳定的|erratique|sprunghaft|अनियमित|irregolare|不安定な|errático
euphoria|রমরমা|النشوة|欣快症|euphorie|Euphorie|उत्साह|euforia|幸福|euforia
evasive|অসরল|مراوغ|逃避的|évasif|ausweichend|कपटपूर्ण|evasivo|避ける|evasivo
evasive|অসরল|مراوغ|逃避的|évasif|ausweichend|कपटपूर्ण|evasivo|避ける|evasivo
evenhanded|evenhanded|منصف|不偏不倚|équitablement|gleichmütig|evenhanded|evenhanded|均等|imparcial
exasperate|ক্রুদ্ধ করা|أسخط|恶化|exaspérer|verzweifelt|चिढ़ाना|esasperare|怒る|exasperar
excruciating|মর্মযন্ত্রণাপূর্ণ|طاحنة|痛苦|atroce|quälend|कष्टदायी|straziante|悲惨な|agudísimo
exemplify|উদাহরণ দ্বারা ব্যাখ্যা করা|مثالا|例证|exemplifier|Beispielhaft|उदाहरण देना|esemplificare|例証する|ejemplificar
exemplify|উদাহরণ দ্বারা ব্যাখ্যা করা|مثالا|例证|exemplifier|Beispielhaft|उदाहरण देना|esemplificare|例証する|ejemplificar
exhort|উত্সাহিত করা|وعظ|劝告|exhorter|ermahnen|समझाना|esortare|奨励|exhortar
extenuating|extenuating|المخففة|情有可原|atténuant|mildernd|हल्का करने वाली|attenuante|崇拝する|atenuante
facetious|রসিক|طريف|滑稽的|facétieux|witzig|हासकर|faceto|面白い|chistoso
fawn|ধামা ধরা|تزلف|讨好|faon|Kitz|हलके पीले रंग का|cerbiatto|フォーン|adular
ferret|সুতী ফিতা|أقلق|鼬|furet|Frettchen|भगाना|furetto|フェレット|hurón
fete|উত্সব|حفلة|宴请|fête|Fest|उत्सव|festa|胎児|fiesta
fickle|চপল|متقلب|薄情|inconstant|wankelmütig|चंचल|volubile|気まぐれな|voluble
finagle|প্রতারণা করা|بالخدعة|欺骗|finagle|finagle|फिनेक्ल|Finagle|フィナーグ|finagle
